metabolite,n_taxa_x,micro_r2,micro_f,micro_p,micro_q,n_taxa_y,geno_r2,geno_f,geno_p,geno_q,CHEMICAL_ID,BIOCHEMICAL_NAME,SUPER_PATHWAY,SUB_PATHWAY,CAS,KEGG,total,group
metabolite_100001266,,0.0,,1.0,,2.0,0.34800513135572564,50.226289247746465,1.2427580925926848e-80,2.8272746606483577e-79,100001266,N-acetylarginine,Amino Acid,Urea cycle; Arginine and Proline Metabolism,155-84-0,C02562,0.34800513135572564,genetics
metabolite_100004523,10.0,0.07060624960199668,7.088021718507608,8.227736669377194e-11,1.0546462458019857e-09,2.0,0.262835504599245,47.675738559187664,5.4193315434782545e-58,7.587064160869557e-57,100004523,N-delta-acetylornithine,Amino Acid,Urea cycle; Arginine and Proline Metabolism,,,0.33344175420124167,hybrid
metabolite_100004299,2.0,0.01118734077172312,4.729215791219639,0.009071089392842784,0.009914911661944439,2.0,0.3169228191734549,48.136203949104555,7.885696704698945e-64,1.3047243638683708e-62,100004299,N-acetyl-1-methylhistidine*,Amino Acid,Histidine Metabolism,,,0.328110159945178,hybrid
metabolite_100000014,59.0,0.2915065546006472,6.255368792076748,2.8221176937948814e-37,3.979185948250783e-35,,0.0,,1.0,,100000014,hippurate,Xenobiotics,Benzoate Metabolism,495-69-2,C01586,0.2915065546006472,microbiome
metabolite_100001402,4.0,0.02520033247331055,5.267305593635164,0.0003426926963197182,0.0005878305374827284,2.0,0.26321628097036287,48.4074296843271,6.927868899877388e-51,8.405814265184564e-50,100001402,5-acetylamino-6-formylamino-3-methyluracil,Xenobiotics,Xanthine Metabolism,85438-96-6,C16365,0.2884166134436734,hybrid
metabolite_1114,,0.0,,1.0,,2.0,0.26597403159383826,68.77395810140762,2.058434671555937e-61,3.121959251859838e-60,1114,3-aminoisobutyrate,Nucleotide,"Pyrimidine Metabolism, Thymine containing",10569-72-9;214139-20-5,C05145,0.26597403159383826,genetics
metabolite_100021331,2.0,0.017555789711837688,8.479079148752534,0.0002239223384918821,0.00041434448461096293,2.0,0.22522044906461047,27.353902450565826,3.9879081714640475e-46,4.269407571802686e-45,100021331,metabolonic lactone sulfate,Lipid,Sterol,,,0.24277623877644816,hybrid
metabolite_100001073,,0.0,,1.0,,2.0,0.24162970442931264,60.28234537274903,1.423206366944854e-54,1.85016827702831e-53,100001073,androsterone sulfate,Lipid,Steroid,2479-86-9,,0.24162970442931264,genetics
metabolite_100009124,12.0,0.046802232501098495,3.8339098618709846,9.706878139751874e-06,3.082589679515798e-05,2.0,0.18769391892471554,54.58864506746734,1.973703867664243e-41,1.4368564156595689e-40,100009124,1-margaroyl-2-arachidonoyl-GPC (17:0/20:4)*,Lipid,Phospholipid Metabolism,,,0.23449615142581404,hybrid
metabolite_100002021,41.0,0.23254316862812652,5.7940446226651465,5.232583584431001e-25,3.3536103882035057e-23,,0.0,,1.0,,100002021,"5alpha-androstan-3beta,17alpha-diol disulfate",Lipid,Steroid,,,0.23254316862812652,microbiome
metabolite_1135,45.0,0.23005468982217026,4.906854018828297,3.3442970559466152e-21,1.1227282973535065e-19,,0.0,,1.0,,1135,ursodeoxycholate,Lipid,Secondary Bile Acid Metabolism,128-13-2,C07880,0.23005468982217026,microbiome
metabolite_100010896,,0.0,,1.0,,2.0,0.22987944163261598,66.11730561974429,5.7234688776163305e-49,6.510445848288575e-48,100010896,2'-O-methyluridine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",2140-76-3,,0.22987944163261598,genetics
metabolite_100001287,5.0,0.03170316573973475,6.102953025144541,1.4261907381289713e-05,4.2078497852010315e-05,2.0,0.19797950395063246,76.85292233832914,1.9599853011633089e-44,1.840660464859895e-43,100001287,epiandrosterone sulfate,Lipid,Steroid,22229-22-7,C07635,0.2296826696903672,hybrid
metabolite_100001083,47.0,0.22569373587459696,5.556699156525806,8.804081706763069e-27,6.896530670297738e-25,,0.0,,1.0,,100001083,indolepropionate,Amino Acid,Tryptophan Metabolism,830-96-6,,0.22569373587459696,microbiome
metabolite_100001417,37.0,0.22046781421062922,6.871777873977819,2.253762718057698e-29,2.6481711937177953e-27,,0.0,,1.0,,100001417,phenylacetylglutamine,Amino Acid,Phenylalanine and Tyrosine Metabolism,28047-15-6,C04148,0.22046781421062922,microbiome
metabolite_100000096,7.0,0.029999032366357925,4.0425754393363125,0.000224981678002951,0.000415214876942619,2.0,0.190416576087027,72.0505666886401,7.447391225004786e-42,5.893153056308135e-41,100000096,4-guanidinobutanoate,Amino Acid,Guanidino and Acetamido Metabolism,463-003;463-00-3,C01035,0.22041560845338493,hybrid
metabolite_100001104,,0.0,,1.0,,2.0,0.21960048489242545,42.30304127103909,1.3654152864813068e-45,1.3805865674422103e-44,100001104,N-acetyltyrosine,Amino Acid,Phenylalanine and Tyrosine Metabolism,537-55-3,,0.21960048489242545,genetics
metabolite_100001869,12.0,0.03956582508166617,3.2338679214271906,0.00014085080098377912,0.00028371375626732654,2.0,0.17861572138472526,34.3581983652807,1.1494903790455568e-37,7.471687463796119e-37,100001869,1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),Lipid,Phospholipid Metabolism,35418-59-8,,0.21818154646639143,hybrid
metabolite_100003434,49.0,0.21529801576049845,4.7146698692510665,9.040812626861297e-22,3.540984945520675e-20,,0.0,,1.0,,100003434,imidazole propionate,Amino Acid,Histidine Metabolism,1074-59-5,,0.21529801576049845,microbiome
metabolite_1082,2.0,0.022191948280276153,10.735022602963184,2.454466533446402e-05,6.706972504184936e-05,2.0,0.19310467321466795,56.47907648718591,9.598252878771864e-43,8.318485828268949e-42,1082,N-acetylleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",1188-21-2,C02710,0.2152966214949441,hybrid
metabolite_100004295,41.0,0.21373740819334697,5.715264501203978,6.887225697248281e-25,4.046245097133365e-23,,0.0,,1.0,,100004295,2-piperidinone,Xenobiotics,Food Component/Plant,675-20-7,,0.21373740819334697,microbiome
metabolite_100020377,10.0,0.06571740705566587,6.576786944451678,6.788094364397666e-10,6.740290882958245e-09,2.0,0.14673769947419624,162.3420936542973,1.9925336120019848e-34,1.0073364371787812e-33,100020377,ethyl beta-glucopyranoside,Xenobiotics,Food Component/Plant,,,0.2124551065298621,hybrid
metabolite_100001989,5.0,0.04100667619392273,8.047455877030528,1.915745614677398e-07,1.098049315729728e-06,2.0,0.16992364313813424,48.208839618461624,6.505282907122126e-37,4.0826258244697485e-36,100001989,glycocholenate sulfate*,Lipid,Secondary Bile Acid Metabolism,,,0.21093031933205697,hybrid
metabolite_100015966,34.0,0.14289297481750662,4.3738286019585795,8.247774295470608e-15,1.6613373938019366e-13,2.0,0.06684263607638263,66.25831907994778,1.2707183124681976e-15,2.0835201159388462e-15,100015966,carotene diol (1),Xenobiotics,Food Component/Plant,,,0.20973561089388926,hybrid
metabolite_100001315,42.0,0.20894772543170848,5.754455923142784,8.419430787576965e-26,5.93569870524176e-24,,0.0,,1.0,,100001315,p-cresol sulfate,Amino Acid,Phenylalanine and Tyrosine Metabolism,3233-57-7,C01468,0.20894772543170848,microbiome
metabolite_100002911,47.0,0.2064218703309859,4.8979171091909075,2.006235976073597e-22,8.839977269574287e-21,,0.0,,1.0,,100002911,glycoursodeoxycholate,Lipid,Secondary Bile Acid Metabolism,64480-66-6,,0.2064218703309859,microbiome
metabolite_100005864,24.0,0.07973419088547318,3.256316429919033,2.7441535326349514e-07,1.4881755696212622e-06,2.0,0.1160372579845953,121.42419418156899,1.2842842661514802e-26,4.328513637769804e-26,100005864,methyl glucopyranoside (alpha + beta),Xenobiotics,Food Component/Plant,,,0.19577144887006848,hybrid
metabolite_100001256,,0.0,,1.0,,2.0,0.19494177472294438,76.67962397919051,2.0227038075383463e-44,1.840660464859895e-43,100001256,N-acetylphenylalanine,Amino Acid,Phenylalanine and Tyrosine Metabolism,2018-61-3,C03519,0.19494177472294438,genetics
metabolite_100001657,47.0,0.19291685008665238,4.5619074160676245,2.8938263832986684e-20,8.500615000939839e-19,,0.0,,1.0,,100001657,glycolithocholate sulfate*,Lipid,Secondary Bile Acid Metabolism,15324-64-8,C11301,0.19291685008665238,microbiome
metabolite_100001948,6.0,0.0589251814276478,9.67398165470268,2.393932320441258e-10,2.637066071736073e-09,2.0,0.1311958003895517,46.812271555543624,3.525607655529087e-28,1.4259124295695417e-27,100001948,succinylcarnitine (C4-DC),Energy,TCA Cycle,256928-74-2,,0.1901209818171995,hybrid
metabolite_100015967,32.0,0.14240885488561117,4.732619252614321,7.141031708299476e-16,1.52558404677307e-14,2.0,0.047062754816884045,46.57198363969239,1.5783185450497874e-11,1.762294326374609e-11,100015967,carotene diol (2),Xenobiotics,Food Component/Plant,,,0.18947160970249521,hybrid
metabolite_100002796,,0.0,,1.0,,2.0,0.18752711157156987,73.01299174247109,1.7128760803973858e-42,1.4170156665105646e-41,100002796,cis-4-decenoate (10:1n6)*,Lipid,Medium Chain Fatty Acid,505-90-8,,0.18752711157156987,genetics
metabolite_100001870,,0.0,,1.0,,2.0,0.18633716595257022,71.60388568406391,1.0568235533154407e-41,8.014245279308758e-41,100001870,1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),Lipid,Phospholipid Metabolism,,,0.18633716595257022,genetics
metabolite_100006191,33.0,0.1813863500713181,5.8415881228270345,1.2028185486446967e-21,4.463089877865848e-20,,0.0,,1.0,,100006191,p-cresol glucuronide*,Amino Acid,Phenylalanine and Tyrosine Metabolism,17680-99-8,,0.1813863500713181,microbiome
metabolite_250,3.0,0.019322594968996798,6.232815035643057,0.0003425099828748471,0.0005878305374827284,2.0,0.16107135910842973,182.588667314214,3.4524874704958225e-38,2.327232294926814e-37,250,biliverdin,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,55482-27-4;55482-27-4,C00500,0.18039395407742653,hybrid
metabolite_100019978,6.0,0.03735544238537247,6.150595846875191,2.4303193511058756e-06,9.639432842343223e-06,2.0,0.14265026297418748,39.64126153639554,9.738099705309784e-31,4.121707317131118e-30,100019978,octadecenedioate (C18:1-DC),Lipid,"Fatty Acid, Dicarboxylate",,,0.18000570535955995,hybrid
metabolite_339,42.0,0.17817102231897908,4.356610940240579,3.1080206368714326e-17,7.303848496647866e-16,,0.0,,1.0,,339,glutarate (C5-DC),Amino Acid,Lysine Metabolism,110-94-1,C00489,0.17817102231897908,microbiome
metabolite_100001551,10.0,0.05055436957510884,5.03709028569133,3.616000218816021e-07,1.8535267173575048e-06,2.0,0.1254895393924802,45.58418163763445,1.567810847029371e-27,5.7068314831869105e-27,100001551,1-arachidonoyl-GPC (20:4n6)*,Lipid,Lysolipid,,C05208,0.17604390896758904,hybrid
metabolite_100002018,5.0,0.025943173735400116,4.8847027552988935,0.00020377450296187987,0.0003851501999681644,2.0,0.14973593165290067,81.00839624357303,3.933327981037837e-33,1.883857085654964e-32,100002018,"5alpha-androstan-3alpha,17beta-diol monosulfate (1)",Lipid,Steroid,,,0.17567910538830078,hybrid
metabolite_192,7.0,0.026043897215189182,3.5908428832938046,0.0007996484285808434,0.0012228896792830686,2.0,0.14882310901892637,41.21945546568185,7.188605963680437e-32,3.191039720463023e-31,192,N-acetylputrescine,Amino Acid,Polyamine Metabolism,18233-70-0,C02714,0.17486700623411555,hybrid
metabolite_100001293,,0.0,,1.0,,2.0,0.17227345439104536,96.57160720710888,7.9343970260845e-39,5.55407791825915e-38,100001293,N-acetylhistidine,Amino Acid,Histidine Metabolism,39145-52-3,C02997,0.17227345439104536,genetics
metabolite_572,1.0,0.011333143843371474,10.935755719177854,0.0009784752736012757,0.001440135841104174,2.0,0.16058073226477532,25.907457697804578,1.4591420847563323e-32,6.809329728862885e-32,572,glucose,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",50-99-7,C00031,0.1719138761081468,hybrid
metabolite_100001055,11.0,0.05308980142971731,4.786027767687703,3.403787960236574e-07,1.7775337125679888e-06,2.0,0.11710887163046713,41.870810518793085,2.066334034672397e-25,5.969409433498036e-25,100001055,isobutyrylcarnitine (C4),Amino Acid,"Leucine, Isoleucine and Valine Metabolism",25518-49-4,,0.17019867306018444,hybrid
metabolite_100001423,30.0,0.1689910151264733,6.331163320781174,1.7411040822182475e-22,8.183189186425764e-21,,0.0,,1.0,,100001423,4-hydroxyhippurate,Xenobiotics,Benzoate Metabolism,2482-25-9,,0.1689910151264733,microbiome
metabolite_100000707,,0.0,,1.0,,2.0,0.1678711924398768,45.84473958282673,4.118825901021538e-35,2.204783276429176e-34,100000707,maleate,Lipid,"Fatty Acid, Dicarboxylate",110-16-7,C01384,0.1678711924398768,genetics
metabolite_100001416,1.0,0.00704017804105217,6.643417667647163,0.010104117154777114,0.010992905237836212,2.0,0.16043186124749953,89.42944306508936,2.8719977927347626e-36,1.6861406396055702e-35,100001416,orotidine,Nucleotide,"Pyrimidine Metabolism, Orotate containing",314-50-1,C01103,0.1674720392885517,hybrid
metabolite_100002761,,0.0,,1.0,,2.0,0.16595800402016403,62.14820936932501,1.193994670727438e-36,7.243567669079791e-36,100002761,androsterone glucuronide,Lipid,Androgenic Steroids,1852-43-3,C11135,0.16595800402016403,genetics
metabolite_100002126,2.0,0.01852742228065296,8.919461660305078,0.00014535678186753667,0.0002919559293920608,2.0,0.14730906653131304,54.36114202202751,2.04256362546586e-32,9.293664495869663e-32,100002126,16a-hydroxy DHEA 3-sulfate,Lipid,Steroid,,,0.165836488811966,hybrid
metabolite_100008914,14.0,0.05051030290239955,3.5870189824536167,8.188964099760275e-06,2.6482659129958687e-05,2.0,0.11487381852531187,124.20177668404806,3.309939437444133e-27,1.1811940737545731e-26,100008914,1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),Lipid,Phospholipid Metabolism,35418-58-7,,0.16538412142771142,hybrid
metabolite_100001658,32.0,0.16466218542256716,5.544013313167704,9.165000478603664e-20,2.485125129775224e-18,,0.0,,1.0,,100001658,taurolithocholate 3-sulfate,Lipid,Secondary Bile Acid Metabolism,64936-83-0,C03642,0.16466218542256716,microbiome
metabolite_340,2.0,0.00968540353466918,4.621110490005178,0.010065321989857795,0.010967622879211353,2.0,0.1525727316446196,56.65330192172534,1.117856968532687e-33,5.498647791160785e-33,340,glycine,Amino Acid,"Glycine, Serine and Threonine Metabolism",56-40-6,C00037,0.16225813517928878,hybrid
metabolite_100020536,35.0,0.16154465429947773,4.734161401164846,6.184504512727849e-17,1.406476026281656e-15,,0.0,,1.0,,100020536,4-ethylcatechol sulfate,Xenobiotics,Benzoate Metabolism,,,0.16154465429947773,microbiome
metabolite_100019975,5.0,0.02672527985163964,5.129366018594727,0.00011969027532702343,0.000246586465735347,2.0,0.13269907967504424,35.764299503360135,7.833920818721706e-28,3.0335608276752135e-27,100019975,hexadecenedioate (C16:1-DC)*,Lipid,"Fatty Acid, Dicarboxylate",,,0.15942435952668388,hybrid
metabolite_100001605,39.0,0.15580062395812821,4.249481035689387,8.702131803854419e-16,1.8044126240345193e-14,,0.0,,1.0,,100001605,catechol sulfate,Xenobiotics,Benzoate Metabolism,4918-96-1,C00090,0.15580062395812821,microbiome
metabolite_100009122,14.0,0.06289272380259758,4.467853976416295,8.061898229317174e-08,5.264598369327773e-07,2.0,0.09024937726563531,93.74619745759455,3.3319374878799512e-21,7.134266150519425e-21,100009122,1-pentadecanoyl-2-arachidonoyl-GPC (15:0/20:4)*,Lipid,Phospholipid Metabolism,,,0.1531421010682329,hybrid
metabolite_1090,,0.0,,1.0,,2.0,0.15083765566519158,84.46359609243277,1.7182678257700075e-34,8.934992694004038e-34,1090,"bilirubin (Z,Z)",Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,635-65-4,C00486,0.15083765566519158,genetics
metabolite_100020823,32.0,0.15042600777928772,4.752968173814124,6.967343334355804e-16,1.52558404677307e-14,,0.0,,1.0,,100020823,lithocholate sulfate (1),Lipid,Secondary Bile Acid Metabolism,,,0.15042600777928772,microbiome
metabolite_100021374,41.0,0.1502558363897757,3.790951063965789,9.827170779253743e-14,1.8231987893089182e-12,,0.0,,1.0,,100021374,branched chain 14:0 dicarboxylic acid**,Lipid,"Fatty Acid, Dicarboxylate",,,0.1502558363897757,microbiome
metabolite_100021104,2.0,0.01551798578366348,7.534517743826603,0.0005666590767537383,0.0009120882399803322,2.0,0.13353136728599269,147.48314441854015,1.1492775432967802e-31,4.980202687619381e-31,100021104,pregnenetriol disulfate*,Lipid,Pregnenolone Steroids,,,0.14904935306965617,hybrid
metabolite_100020214,15.0,0.06200490187276464,3.4682382933054896,8.94092748529757e-06,2.8651608532430847e-05,2.0,0.0864267175531227,37.84117561828904,1.9831521661747713e-16,3.437463754702937e-16,100020214,glyco-beta-muricholate**,Lipid,Primary Bile Acid Metabolism,,,0.14843161942588734,hybrid
metabolite_136,16.0,0.14798989392061257,9.661784280017738,1.3910074343620928e-22,7.004716008751967e-21,,0.0,,1.0,,136,cholate,Lipid,Primary Bile Acid Metabolism,81-25-4,C00695,0.14798989392061257,microbiome
metabolite_100006370,6.0,0.041233853482717575,6.852481541452973,3.9067803180984895e-07,1.9533901590492446e-06,2.0,0.10612170594615367,56.985855001738386,4.107976127880074e-24,1.1158979929465274e-23,100006370,3beta-hydroxy-5-cholestenoate,Lipid,Sterol,6561-58-6,C17333,0.14735555942887124,hybrid
metabolite_445,3.0,0.026842313678811403,8.670161117398782,1.1172050447688191e-05,3.424476332878337e-05,2.0,0.12047918666937885,64.65586174430896,4.832470613883417e-27,1.691364714859196e-26,445,orotate,Nucleotide,"Pyrimidine Metabolism, Orotate containing",50887-69-9,C00295,0.14732150034819025,hybrid
metabolite_100001150,4.0,0.04226421149893933,9.873931241191368,8.0649166508851e-08,5.264598369327773e-07,2.0,0.1023499057482059,102.38980194002826,7.262441095479888e-23,1.7623523725031196e-22,100001150,propionylglycine,Lipid,Fatty Acid Metabolism (also BCAA Metabolism),21709-90-0,,0.14461411724714524,hybrid
metabolite_100006642,7.0,0.04027007969335872,5.436791793348094,3.968446595204807e-06,1.4571639841767651e-05,2.0,0.10184049833947595,51.704922296032926,5.360208884532717e-22,1.2348835658037397e-21,100006642,glycodeoxycholate 3-sulfate,Lipid,Secondary Bile Acid Metabolism,,,0.14211057803283467,hybrid
metabolite_100008977,16.0,0.04856852048910654,2.9735365913526755,7.452485247510444e-05,0.00016695060714338368,2.0,0.09147797511889855,47.625793372374915,1.9618810022523855e-20,4.0575266182947064e-20,100008977,1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),Lipid,Phospholipid Metabolism,,,0.14004649560800508,hybrid
metabolite_100020578,16.0,0.1397737501844295,9.170239838327417,2.7883392567565166e-21,9.828895880066721e-20,,0.0,,1.0,,100020578,4-allylcatechol sulfate,,,,,0.1397737501844295,microbiome
metabolite_100009215,9.0,0.04286119290433277,4.746737269639476,3.3644202894203364e-06,1.254982171450443e-05,2.0,0.09520811584829902,50.56135058947711,1.323270435758214e-21,2.9016291482890956e-21,100009215,1-stearoyl-2-dihomo-linolenoyl-GPE (18:0/20:3n3 or 6)*,Lipid,Phospholipid Metabolism,,,0.1380693087526318,hybrid
metabolite_100001977,36.0,0.1379820288542739,4.006161902752126,1.4077892292576653e-13,2.5448497605811642e-12,,0.0,,1.0,,100001977,beta-cryptoxanthin,Xenobiotics,Food Component/Plant,472-70-8,,0.1379820288542739,microbiome
metabolite_100008990,13.0,0.0360095458991645,2.6924097212455567,0.0009873850292823163,0.0014500865868485823,2.0,0.10128536264919186,53.41991762506124,1.0392986310775415e-22,2.4888467217909546e-22,100008990,1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,Lipid,Phospholipid Metabolism,,,0.13729490854835635,hybrid
metabolite_100003696,3.0,0.01997889245631268,6.190605109624971,0.0003645633068562162,0.0006193183887557408,2.0,0.1169245903516698,120.88678931008475,1.706517931516519e-26,5.647022973381936e-26,100003696,succinimide,Xenobiotics,Chemical,123-56-8,C07273,0.13690348280798248,hybrid
metabolite_100006260,17.0,0.13572465948809975,8.609414746162285,8.244881686227693e-21,2.6421098130866017e-19,,0.0,,1.0,,100006260,6-hydroxyindole sulfate,Xenobiotics,Chemical,,,0.13572465948809975,microbiome
metabolite_100005996,4.0,0.032896481466850425,8.070170440335065,2.124587113315572e-06,8.559050942214162e-06,2.0,0.09972112408892286,105.45011404003158,1.558035791123658e-23,4.05089305692151e-23,100005996,octadecenedioylcarnitine (C18:1-DC)*,Lipid,Fatty Acid Metabolism(Acyl Carnitine),251981-06-3,,0.1326176055557733,hybrid
metabolite_100008991,1.0,0.008420542633254202,8.101415990865357,0.004517864881402998,0.005290855052141385,2.0,0.12394524672619223,67.41577492083039,4.131814265933784e-28,1.6347612965216276e-27,100008991,1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*,Lipid,Phospholipid Metabolism,,,0.13236578935944643,hybrid
metabolite_100010936,14.0,0.05013420548069636,3.5325103523993415,1.0857394068170354e-05,3.357220534236886e-05,2.0,0.08173945797058912,84.56476295980558,2.293925799538001e-19,4.638827727954624e-19,100010936,oleoyl-arachidonoyl-glycerol (18:1/20:4) [1]*,,,,,0.13187366345128548,hybrid
metabolite_231,1.0,0.008992426365011075,8.71106290211896,0.0032397685114444667,0.003993071329664946,2.0,0.11987088703120585,43.49222104036414,2.362234925165743e-26,7.677263506788664e-26,231,arginine,Amino Acid,Urea cycle; Arginine and Proline Metabolism,1119-34-2,C00062,0.12886331339621693,hybrid
metabolite_100020204,1.0,0.008891922376082384,8.451339533374314,0.0037332854687089287,0.004499087616136401,2.0,0.11912050155694698,42.371770358087915,1.0989291358986843e-25,3.2258887537671053e-25,100020204,N-acetyl-2-aminooctanoate*,Lipid,"Fatty Acid, Amino",,,0.12801242393302936,hybrid
metabolite_100009378,2.0,0.024616914499483,12.000764641615215,7.125529361447335e-06,2.3474290653366222e-05,2.0,0.10314255260196248,54.68459218855843,3.3112017983912916e-23,8.143766585232636e-23,100009378,1-(1-enyl-stearoyl)-2-dihomo-linolenoyl-GPE (P-18:0/20:3)*,Lipid,Plasmalogen,,,0.12775946710144548,hybrid
metabolite_491,1.0,0.020280423503474476,17.92640177387653,2.5415751973479585e-05,6.865174383641037e-05,2.0,0.10625179614533997,34.23840983162872,6.499187408302032e-21,1.3754094282685698e-20,491,pyridoxal,Cofactors and Vitamins,Vitamin B6 Metabolism,65-22-5,C00250,0.12653221964881445,hybrid
metabolite_100001554,1.0,0.009531257300532836,9.08408968785912,0.0026473206624869298,0.003387225167065854,2.0,0.11604892133433165,61.90055957817623,5.506941935006631e-26,1.7280404002951844e-25,100001554,2-arachidonoyl-GPC (20:4)*,Lipid,Lysolipid,,,0.12558017863486448,hybrid
metabolite_100002027,,0.0,,1.0,,2.0,0.12555056384576369,45.609531513231595,1.5168980016317621e-27,5.634192577489402e-27,100002027,"androstenediol (3alpha, 17alpha) monosulfate (3)",Lipid,Steroid,,,0.12555056384576369,genetics
metabolite_100022004,,0.0,,1.0,,2.0,0.12474497233975046,137.39327342910036,9.280303592558084e-30,3.8386710314672076e-29,100022004,"bilirubin degradation product, C16H18N2O5 (2)**",Partially Characterized Molecules,Partially Characterized Molecules,,,0.12474497233975046,genetics
metabolite_100000263,1.0,0.009009260210754433,8.63660663674504,0.003374457394435287,0.004115903915357919,2.0,0.11518381869027572,61.76957782082455,6.050276441157612e-26,1.8663564615096362e-25,100000263,imidazole lactate,Amino Acid,Histidine Metabolism,14403-45-3,C05568,0.12419307890103015,hybrid
metabolite_100002049,25.0,0.1220139383536224,4.046813543024706,2.7102765928203454e-10,2.9396076891359133e-09,,0.0,,1.0,,100002049,4-hydroxycoumarin,Xenobiotics,Drug,1076-38-6,C20414,0.1220139383536224,microbiome
metabolite_917,3.0,0.019193659812912434,6.190411030914114,0.00036345360837643714,0.0006189246229598748,2.0,0.10089439559304014,53.30279076427817,1.148377737046256e-22,2.7143473784729685e-22,917,asparagine,Amino Acid,Alanine and Aspartate Metabolism,70-47-3,C00152,0.12008805540595258,hybrid
metabolite_100020219,2.0,0.02028991587012463,9.97192399029128,5.1699212645031616e-05,0.00012313494903630842,2.0,0.09897428743496017,52.8909649695411,1.606772506900217e-22,3.74913584943384e-22,100020219,3-formylindole,Xenobiotics,Food Component/Plant,487-89-8,C08493,0.1192642033050848,hybrid
