Grouped Metabolites,Clinical data 95% CI,Clinical data R2,Clinical data p-value,Diet 95% CI,Diet R2,Diet p-value,Full model 95% CI,Full model R2,Full model p-value,Genetics 95% CI,Genetics R2,Genetics p-value,Lifestyle 95% CI,Lifestyle R2,Lifestyle p-value,Microbiome 95% CI,Microbiome R2,Microbiome p-value,Time of day 95% CI,Time of day R2,Time of day p-value,CHEMICAL_ID,COMP_ID,Group   HMDB_ID,Sample   HMDB_ID,BIOCHEMICAL,CAS,CHEMSPIDER,KEGG,MASS,PATHWAY_SORTORDER,PLATFORM,PUBCHEM,RI,SUB_PATHWAY,SUPER_PATHWAY,COMMENT,metabolite,micro_r2,geno_r2,total,group,BIOCHEMICAL_NAME
100001417+100000011,"(-0.0042908180543839766, 0.08484221143833146)",0.0627080214491072,0.00684492949878721,,-0.0157073651890073,1.0,"(0.3593921178016323, 0.4116454411260788)",0.419345960776724,1.09378347016007e-177,,-0.00447308957926329,1.0,,-0.0537621110433816,1.0,"(0.34529255898889466, 0.40034986676150686)",0.399478053900378,3.19854480638166e-148,,-0.00945469775281715,1.0,100001417,35126,HMDB06344,,phenylacetylglutamine,28047-15-6,270643.0,C04148,263.10373,865.0,LC/MS Neg,92258.0,2330.0,Acetylated Peptides,Peptide,phenylacetylglutamine,metabolite_100001417,0.399478053900378,0.0,0.399478053900378,microbiome,phenylacetylglutamine
X - 12816,"(-0.026778533786965673, 0.06973362830387501)",0.0575661199834853,0.0157552171629713,"(0.18704020446422492, 0.2585461579994045)",0.283939102537394,1.16755470999719e-53,"(0.4075246996273728, 0.46266982738092366)",0.494538606496382,8.81233634075993e-240,,-0.00293503389718408,1.0,,-0.0244532755419948,1.0,"(0.30389623883531475, 0.36489408877176993)",0.383049057237139,2.47256296881486e-111,,-0.0100528488781916,1.0,X - 12816,46630,,,X - 12816,,,,495.22373,,LC/MS Neg,,2700.0,,,X - 12816,metabolite_X - 12816,0.383049057237139,0.0,0.383049057237139,microbiome,X - 12816
100000442,"(-0.027745171487050496, 0.06897742778172175)",0.0380277540104412,0.129303596283259,"(0.4080460404773659, 0.4699088840243816)",0.483889027262837,2.85253823074627e-160,"(0.5100225893589692, 0.5609547461869775)",0.595602778678444,5.38511576025085e-300,,-0.017139175349228,1.0,,-0.0456826057380641,1.0,"(0.268944764934374, 0.34036196392433543)",0.381947259058241,5.08571722975239e-86,"(0.00499755043468404, 0.03747103586564283)",0.0315702715601023,0.000166280691870549,100000442,18335,HMDB03072,,quinate,77-95-2,10246715.0,C00296,191.05611,3889.0,LC/MS Polar,6508.0,2432.9,Food Component/Plant,Xenobiotics,quinate,metabolite_100000442,0.381947259058241,0.0,0.381947259058241,microbiome,quinate
100001405,,-0.0211755001720239,1.0,"(0.4146966186273724, 0.470125446610891)",0.486834809982889,3.55984180869521e-186,"(0.5045748826748182, 0.5504630385468385)",0.583059270860106,0.0,,-0.00177377257443622,1.0,,-0.0541950656927725,1.0,"(0.27991554425451515, 0.34814541499316703)",0.374191752052819,1.28746228160027e-92,"(-0.005088733964778675, 0.026184933503034462)",0.0197920734177685,0.0162260107597901,100001405,34389,HMDB10738,,1-methylxanthine,6136-37-4,72464.0,C16358,165.0418,3588.0,LC/MS Neg,80220.0,1568.8,Xanthine Metabolism,Xenobiotics,1-methylxanthine,metabolite_100001405,0.374191752052819,0.0,0.374191752052819,microbiome,1-methylxanthine
100001106+100001400,"(-0.07528348035366164, 0.019222930689584278)",0.00305389390484334,0.901533121410921,"(0.3846996399910415, 0.44654358390687177)",0.461054997661205,2.83932853114142e-152,"(0.482098211525594, 0.5301710857426448)",0.557959138606028,2.94448930060337e-310,,-0.00212624884271872,1.0,,-0.0548675567028553,1.0,"(0.27189084899877264, 0.34045335892682904)",0.366597507898097,6.10276494610851e-84,"(-0.017182080163282123, 0.01413818653610779)",0.00940817188696563,0.239967108829349,100001106,32391,HMDB01857,,"1,3-dimethylurate",944-73-0,63527.0,,195.05236,3584.0,LC/MS Neg,70346.0,1671.4,Xanthine Metabolism,Xenobiotics,"1,3-dimethylurate",metabolite_100001106,0.366597507898097,0.0,0.366597507898097,microbiome,"1,3-dimethylurate"
100001402,"(-0.08407148655048001, 0.008354549180821243)",0.00951981952821567,0.689230930387586,"(0.17586066769332787, 0.2475644188995783)",0.23288259970528,3.10415494312013e-32,"(0.25230295879895875, 0.3129826195339566)",0.317070727249969,4.9792440787428e-81,"(0.15135300198791213, 0.15135400198791213)",0.151353001987912,1.87709458760599e-16,,-0.0160553800404728,1.0,"(0.1317357147678616, 0.19912507035112087)",0.193772831251572,1.14208465669681e-26,"(-0.013315611162937623, 0.018300040311486365)",0.00938832345274209,0.264435444975885,100001402,34401,HMDB11105,,5-acetylamino-6-formylamino-3-methyluracil,85438-96-6,97287.0,C16365,225.06292,3592.0,LC/MS Polar,108214.0,1424.0,Xanthine Metabolism,Xenobiotics,5-acetylamino-6-formylamino-3-methyluracil,metabolite_100001402,0.193772831251572,0.151353001987912,0.345125833239484,hybrid,5-acetylamino-6-formylamino-3-methyluracil
100001399+100000437,"(-0.07627610088062767, 0.025210834436171194)",0.0207586695550749,0.419932374164748,"(0.35144327886016097, 0.41870197691689814)",0.426171875242434,1.70191344363788e-108,"(0.44419444253146634, 0.5048957220331497)",0.530048624326261,1.67145419774353e-206,,-0.00266860941671942,1.0,,-0.0489991542936925,1.0,"(0.24025860458529075, 0.3161993043500522)",0.341141325149628,4.40027983853556e-63,"(-0.015381610123714915, 0.016674117544020085)",0.0100429105776672,0.227256589280416,100001399,34400,HMDB11103,,"1,7-dimethylurate",33868-03-0,82720.0,C16356,195.05236,3585.0,LC/MS Neg,91611.0,1578.6,Xanthine Metabolism,Xenobiotics,"1,7-dimethylurate",metabolite_100001399,0.341141325149628,0.0,0.341141325149628,microbiome,"1,7-dimethylurate"
100001403,"(-0.07275392956487793, 0.02604873043350257)",0.0249633843789882,0.318029893165148,"(0.3805964677640826, 0.4449498976237847)",0.443271696798758,4.61362691358958e-121,"(0.4594982209566868, 0.5162992845431577)",0.526960963146644,1.64236480416287e-203,,-0.00251024328041515,1.0,,-0.0332642994180016,1.0,"(0.24026008274392974, 0.31470697226639055)",0.338569825343639,1.14352200512505e-65,"(-0.021934497219178225, 0.01098196947000016)",0.00483098335396081,0.565849832850012,100001403,34424,HMDB04400,,5-acetylamino-6-amino-3-methyluracil,1196153-01-1,79659.0,C16366,197.06801,3591.0,LC/MS Polar,88299.0,1710.0,Xanthine Metabolism,Xenobiotics,5-acetylamino-6-amino-3-methyluracil,metabolite_100001403,0.338569825343639,0.0,0.338569825343639,microbiome,5-acetylamino-6-amino-3-methyluracil
X - 24811,"(-0.056344105234310854, 0.04398302284152605)",0.00665019203303185,0.789582221811756,"(0.3562686968696165, 0.41233478340687846)",0.437334251422277,1.73932163829225e-166,"(0.4546477237495902, 0.5004304403181883)",0.540871040297712,0.0,,-0.00384475343788293,1.0,,-0.0151683728069857,1.0,"(0.256919996709931, 0.32432744579781736)",0.331206535009919,1.13954688858151e-74,"(0.027506109210598637, 0.05897608589365582)",0.0527939149898594,1.85971667154008e-10,X - 24811,54839,,,X - 24811,,,,228.08646,,LC/MS Pos Early,,2259.0,,,X - 24811,metabolite_X - 24811,0.331206535009919,0.0,0.331206535009919,microbiome,X - 24811
X - 21442,"(-0.057885250011366275, 0.03784772888584771)",0.0305146494447727,0.223450478767084,"(0.39529902757163404, 0.4487429124064379)",0.466068462839791,1.0184397244415e-197,"(0.476924413894423, 0.5243519403949426)",0.557186944135716,0.0,,-0.00284120591956682,1.0,,-0.0470735061996794,1.0,"(0.24192386854011075, 0.31141559448253947)",0.320578671915348,2.31823450460171e-70,"(-0.02490467275701949, 0.005984116488915624)",0.00448242100639406,0.577468693771307,X - 21442,46487,,,X - 21442,,,,333.20774,,LC/MS Neg,,3823.0,,,X - 21442,metabolite_X - 21442,0.320578671915348,0.0,0.320578671915348,microbiome,X - 21442
100001397+849,"(-0.05568335128122557, 0.039926047385960436)",0.0189089309920077,0.445335860761245,"(0.3204308309820326, 0.3835984577373152)",0.392250736058049,7.29822675660972e-108,"(0.4162102327243264, 0.4685845210456535)",0.502448872886595,1.65335722455079e-227,,-0.00224488503470854,1.0,,-0.050436763715447,1.0,"(0.2212258982632512, 0.29799398703358587)",0.320375747717337,8.82624118001205e-57,"(-0.016816931862044852, 0.015760152425298404)",0.0111949257063548,0.196053060540208,100001397,34404,HMDB02123,,"1,3,7-trimethylurate",5415-44-1,71754.0,C16361,209.06801,3587.0,LC/MS Neg,79437.0,1985.0,Xanthine Metabolism,Xenobiotics,"1,3,7-trimethylurate",metabolite_100001397,0.320375747717337,0.0,0.320375747717337,microbiome,"1,3,7-trimethylurate"
100000453,"(-0.09225509329334726, 0.00944447961938123)",0.00895706262642015,0.729302301879959,"(0.3095213481781545, 0.37190524463725283)",0.38461723390315,1.41462894327574e-107,"(0.3794228205558831, 0.43396734704292317)",0.461155430328915,6.82579000772141e-200,,-0.0108237937916508,1.0,,-0.0299223192853008,1.0,"(0.20652827999218812, 0.2763333742872605)",0.285906062602643,9.20903488605729e-51,"(0.0017775265907279262, 0.03517557513150672)",0.0300995847964963,0.000235388886755368,100000453,18254,HMDB01860,,paraxanthine,611-59-6,4525.0,C13747,181.07201,3579.0,LC/MS Pos Early,4687.0,1810.0,Xanthine Metabolism,Xenobiotics,paraxanthine,metabolite_100000453,0.285906062602643,0.0,0.285906062602643,microbiome,paraxanthine
100001266,"(0.003417939807549081, 0.1001888865368085)",0.0973194310937035,6.75079429106748e-05,,-0.086971588440621,1.0,"(0.009637811504500007, 0.0846835492858657)",0.0722709648836504,0.000226195327225989,"(0.2856322217065708, 0.2856332217065708)",0.28563222170657,5.50690902551699e-32,,-0.0646666498708345,1.0,,-0.0133847142883583,1.0,"(0.02961569935799893, 0.06100104079728988)",0.0430063527196807,9.58661775431774e-08,100001266,33953,HMDB04620,,N-acetylarginine,155-84-0,60752.0,C02562,217.12952,361.0,LC/MS Pos Early,67427.0,2245.0,Urea cycle; Arginine and Proline Metabolism,Amino Acid,N-acetylarginine,metabolite_100001266,0.0,0.28563222170657,0.28563222170657,genetics,N-acetylarginine
X - 12126,"(-0.0660196764741846, 0.02878276605456039)",0.03097606589527,0.202624574808188,"(-0.0134444067477236, 0.07065992199017092)",0.0278559424928426,0.194158713771375,"(0.2612389808029662, 0.31913293758466454)",0.329872277914948,4.17106515585661e-101,,-0.00254480613903407,1.0,,-0.0309699946687962,1.0,"(0.2295248709235832, 0.29056599794148685)",0.279025760108611,1.07156746972001e-67,,-0.00170748988281599,1.0,X - 12126,46966,,,X - 12126,,,,324.0739,,LC/MS Neg,,1205.0,,,candidate structure is an aromatic amino acid related metabolite,metabolite_X - 12126,0.279025760108611,0.0,0.279025760108611,microbiome,X - 12126
100001577,"(0.0867164791065833, 0.1721799758382506)",0.16766420221641,2.10496429367475e-14,,-0.0374143874483505,1.0,"(0.10950979593601039, 0.1784762379639662)",0.186545614524061,1.76195094242648e-25,"(0.27620505792753103, 0.276206057927531)",0.276205057927531,9.61905801438186e-31,,-0.0396471438204979,1.0,,-0.0561831693906322,1.0,"(0.06921608174763595, 0.10049529687737409)",0.0881793600602117,1.88271994900917e-27,100001577,48434,HMDB00856,,N-acetylcitrulline,33965-42-3,571213.0,C15532,216.09898,362.0,LC/MS Neg,656979.0,940.0,Urea cycle; Arginine and Proline Metabolism,Amino Acid,N-acetylcitrulline,metabolite_100001577,0.0,0.276205057927531,0.276205057927531,genetics,N-acetylcitrulline
X - 12216,"(-0.05564906260716523, 0.03776762928806561)",0.0346098254479604,0.14915187983976,,-0.018659180424277,1.0,"(0.22031866372902054, 0.2864547848636559)",0.300785267091686,3.51317939249567e-65,,-0.00408515586508273,1.0,,-0.0370515699583393,1.0,"(0.20316839790374436, 0.26896016427939584)",0.275513233511536,9.11977567313272e-57,"(-0.008188631014920632, 0.022284212163600624)",0.0157043150844874,0.0512734417069691,X - 12216,46613,,,X - 12216,,,,227.99743,,LC/MS Neg,,1691.0,,,candidate structure is an aromatic amino acid related metabolite,metabolite_X - 12216,0.275513233511536,0.0,0.275513233511536,microbiome,X - 12216
100001721,"(-0.08218441033819668, 0.013785148899078888)",0.0263440411685264,0.289653691728456,,-0.0654840530286395,1.0,"(-0.06773967781782889, 0.012374381241837647)",0.00424912714833392,0.831208975663039,"(0.2657361522965849, 0.2657371522965849)",0.265736152296584,1.90892999014355e-29,,-0.0472349134370841,1.0,,-0.0743176886665231,1.0,"(-0.011442449326316528, 0.021143329324933638)",0.00927307051139059,0.253959068098865,100001721,36751,HMDB00446,,N2-acetyllysine,1946-82-3,83869.0,C12989,187.10881,85.0,LC/MS Polar,92907.0,3372.6,Lysine Metabolism,Amino Acid,N2-acetyllysine,metabolite_100001721,0.0,0.265736152296584,0.265736152296584,genetics,N2-acetyllysine
1114,"(-0.07827168777327198, 0.02038972369148777)",0.0157032176589447,0.531662605964833,,-0.0376116272928002,1.0,,-0.0118547189854378,1.0,"(0.26548711437313444, 0.2654881143731344)",0.265487114373134,1.84233912288532e-29,,-0.0418682152084624,1.0,,-0.0277660589671757,1.0,,-0.00937664848030173,1.0,1114,1566,HMDB03911,,3-aminoisobutyrate,10569-72-9;214139-20-5,58481.0,C05145,104.07061,3369.0,LC/MS Pos Early,64956.0,2190.0,"Pyrimidine Metabolism, Thymine containing",Nucleotide,3-aminoisobutyrate,metabolite_1114,0.0,0.265487114373134,0.265487114373134,genetics,3-aminoisobutyrate
100000010,"(-7.17540292897055e-05, 0.09645891768542544)",0.0825165873240805,0.000848468597899859,"(-0.01967434711272404, 0.06859361328781899)",0.0501353897973406,0.0257818626558089,"(0.2663260968086799, 0.3364756601769279)",0.336262662453993,4.99000647345163e-69,,-0.00298462745936056,1.0,"(-0.09037140886385582, 0.0022574558317142264)",0.0016049828837843,0.946366520217853,"(0.20195577312376567, 0.28105607555140244)",0.260006777697276,3.69593019914071e-37,,-0.00940234698107955,1.0,100000010,15749,HMDB00764,,3-phenylpropionate (hydrocinnamate),501-52-0,10181339.0,C05629,149.0608,3576.0,LC/MS Neg,107.0,2860.0,Benzoate Metabolism,Xenobiotics,3-phenylpropionate (hydrocinnamate),metabolite_100000010,0.260006777697276,0.0,0.260006777697276,microbiome,3-phenylpropionate (hydrocinnamate)
X - 23655+X - 23649,"(-0.019861256673604777, 0.0755928666917038)",0.0741146664993234,0.00213685232596766,"(0.2750333870153661, 0.33527971990078664)",0.338265286103185,5.48977206935695e-94,"(0.3639775512430186, 0.4139300753807463)",0.440052983675549,1.32170471121086e-212,,-0.00351232807288948,1.0,,-0.0168679853355775,1.0,"(0.19003193523921288, 0.25804764172979455)",0.259003962377906,6.96846442449452e-47,"(-0.017231368920954504, 0.015004518250872633)",0.0122135486602039,0.147988778430903,X - 23655,49532,,,X - 23655,,,,110.06021,,LC/MS Pos Early,,2200.0,,,candidate structure is pyridine related,metabolite_X - 23655,0.259003962377906,0.0,0.259003962377906,microbiome,X - 23655
X - 12851,,-0.0544160716004193,1.0,,-0.0323568997106564,1.0,"(0.14550499402475248, 0.21171630934924116)",0.199573988804318,3.26575645177876e-31,,-0.00531707987470952,1.0,,-0.0211100454518229,1.0,"(0.17654252242652194, 0.24660346607836073)",0.254758136550262,5.84899900045901e-44,,-0.0100012719321627,1.0,X - 12851,46639,,,X - 12851,,,,311.66577,,LC/MS Neg,,4844.0,,,X - 12851,metabolite_X - 12851,0.254758136550262,0.0,0.254758136550262,microbiome,X - 12851
100001257,"(-0.0663194517226733, 0.02914500297592375)",0.0331838205213559,0.175330669268701,,-0.0385805137245265,1.0,"(0.01912609913715661, 0.09221395775281513)",0.0664035708081184,0.000355571368979549,"(0.2529509091196135, 0.25295190911961346)",0.252950909119613,3.72750286818909e-28,,-0.0462997670402967,1.0,,-0.0902222210980769,1.0,"(0.13825647686512396, 0.16838117123970053)",0.154590030634185,1.50087678659437e-87,100001257,33942,HMDB06028,,N-acetylasparagine,4033-40-3,90090.0,,175.07134,39.0,LC/MS Pos Early,99715.0,785.0,Alanine and Aspartate Metabolism,Amino Acid,N-acetylasparagine,metabolite_100001257,0.0,0.252950909119613,0.252950909119613,genetics,N-acetylasparagine
X - 23997,,-0.0254796483991455,1.0,,-0.0801863849458086,1.0,"(0.15079195077504337, 0.21599892408279)",0.233676192788987,9.81702931738642e-44,,-0.000564421350547572,1.0,,-0.0032192735538663,1.0,"(0.18725535714140581, 0.25422156051332406)",0.245944779714856,3.78749611490836e-42,,-0.00448916108832886,1.0,X - 23997,52025,,,X - 23997,,,,223.07445,,LC/MS Pos Early,,1634.0,,,X - 23997,metabolite_X - 23997,0.245944779714856,0.0,0.245944779714856,microbiome,X - 23997
X - 12837,"(-0.019857550859154194, 0.08101202903137815)",0.0938939016753172,0.000276982837438041,"(0.0877023933918641, 0.17529732869231365)",0.163444782746721,1.84436937728152e-13,"(0.27216516876584373, 0.3438325133711704)",0.354389850981319,3.86232405911043e-73,,-0.00813568953431809,1.0,,-0.0413302896469611,1.0,"(0.16614220561005016, 0.24945509566062624)",0.245906922514127,2.59494764201468e-28,"(-0.01838886723827084, 0.013034759720525785)",0.00925060741984928,0.263221858826078,X - 12837,47010,,,glucuronide of C19H28O4 (2)*,,,,495.22503,,LC/MS Neg,,3615.0,,,X - 12837,metabolite_X - 12837,0.245906922514127,0.0,0.245906922514127,microbiome,glucuronide of C19H28O4 (2)*
100002253,"(0.028704091544957115, 0.11775428681766889)",0.114912847752044,5.91422939079828e-07,"(0.002478048417155058, 0.09041214400083905)",0.0698018591999649,0.00196351317515439,"(0.24003404882770285, 0.31119167136106035)",0.326303046621758,2.38058292719646e-68,,-0.00153433888095566,1.0,"(-0.09379810460816168, 0.005656295161407396)",0.0117084408055475,0.632764301449557,"(0.17700610416356852, 0.25734151284481405)",0.240993241747025,1.67211259397476e-30,"(-0.018453021541656987, 0.016877342032664548)",0.0104643560001483,0.239426303937843,100002253,38637,HMDB11621,,cinnamoylglycine,16534-24-0,618829.0,,204.06661,3767.0,LC/MS Neg,709625.0,3127.0,Food Component/Plant,Xenobiotics,cinnamoylglycine,metabolite_100002253,0.240993241747025,0.0,0.240993241747025,microbiome,cinnamoylglycine
100000861,"(-0.0638989649870155, 0.0361178412279297)",0.0317907917468361,0.22057609104662,"(0.24496920909339223, 0.31405627492540383)",0.314833054332669,3.84545870624116e-66,"(0.31392154690197216, 0.3722599788914602)",0.406783023761814,3.78214603254071e-147,,-0.00310297706534301,1.0,,-0.0440139277243443,1.0,"(0.1643510504463785, 0.23561318887725186)",0.23949409020189,7.46108901661669e-37,"(-0.007319018755490293, 0.025036348895197222)",0.0217439500083077,0.00789402815452967,100000861,21132,,,"2,3-dihydroxypyridine",16867-04-2,26153.0,,112.03931,3695.0,LC/MS Pos Early,28115.0,1420.0,Food Component/Plant,Xenobiotics,"2,3-dihydroxypyridine",metabolite_100000861,0.23949409020189,0.0,0.23949409020189,microbiome,"2,3-dihydroxypyridine"
100005864,"(-0.052684037077889816, 0.04829487859605356)",0.0235437061299712,0.363382110664104,"(0.17758746298298558, 0.24980888707309926)",0.245747818713592,2.702918487627e-37,"(0.19933266869561567, 0.2722735320417066)",0.261023373655437,1.66254585968185e-42,"(0.11142803941666156, 0.11142903941666156)",0.111428039416661,7.3517750766156e-13,,-0.0267391943129666,1.0,"(0.058294883722160816, 0.14262537691316712)",0.126449428795859,1.03550440666619e-08,,-0.00228664995676974,1.0,100005864,46144,,,methyl glucopyranoside (alpha + beta),,,,193.0718,3938.0,LC/MS Neg,,1070.0,Food Component/Plant,Xenobiotics,methyl glucopyranoside (alpha + beta),metabolite_100005864,0.126449428795859,0.111428039416661,0.23787746821251998,hybrid,methyl glucopyranoside (alpha + beta)
100004523,"(-0.06438809124566679, 0.0349750446719173)",0.0325764862258867,0.191413127927374,"(0.1351598266193783, 0.2140309951661052)",0.18604547844995,3.38460224318462e-20,"(0.11706553354899409, 0.18650748484820978)",0.181862883394051,6.18724912131452e-24,"(0.14967048086278456, 0.14967148086278456)",0.149670480862784,3.00200515510993e-16,,-5.97015917833676e-05,1.0,"(0.01701119429722082, 0.09089773017579056)",0.0708576949076695,0.000245168635627527,"(-0.026691241042051946, 0.0060748109989780166)",0.00163682215635008,0.845681814603376,100004523,43249,,,N-delta-acetylornithine,,8096135.0,,175.10772,364.0,LC/MS Pos Early,9920500.0,1877.0,Urea cycle; Arginine and Proline Metabolism,Amino Acid,N-delta-acetylornithine,metabolite_100004523,0.0708576949076695,0.149670480862784,0.2205281757704535,hybrid,N-delta-acetylornithine
